id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
78,Dorothy B. Hughes,1904,1993,United States,,"American writer (1904-1993). Born in Kansas City. Died in Ashland. Occupations: science fiction writer, journalist, screenwriter, writer, novelist, literary critic, poet. Notable works: In a Lonely Place",Q1778440,2025-06-17 03:44:44.513472,2025-06-17 16:38:10.12442,
79,Helen MacInnes,1907,1985,"United Kingdom, United States",,"20th-century Scottish-American author. Born in Glasgow. Died in New York City. Occupations: librarian, novelist, writer",Q454595,2025-06-17 03:44:44.513472,2025-06-17 16:38:11.524392,
80,Rose Franken,1896,1988,United States,,"American writer (1895–1988). Born in Gainesville. Died in Tucson. Occupations: short story writer, screenwriter, writer, playwright, novelist",Q1242613,2025-06-17 03:44:44.513472,2025-06-17 16:38:12.982493,
81,Judith Kelly,,,,,,,2025-06-17 03:44:44.513472,2025-06-17 03:44:44.513472,
82,Craig Rice,1908,1957,United States,,"American writer (1908-1957). Born in Chicago. Died in Los Angeles. Occupations: screenwriter, novelist, writer",Q1639201,2025-06-17 03:44:44.513472,2025-06-17 16:38:15.205763,
83,Betty Smith,1896,1972,United States,,"American author (1896–1972). Born in Brooklyn. Died in Shelton. Occupations: children's writer, screenwriter, writer, playwright, novelist. Notable works: A Tree Grows in Brooklyn",Q273730,2025-06-17 03:44:44.513472,2025-06-17 16:38:16.772077,
84,Marjorie Kinnan Rawlings,1896,1953,United States,,"American novelist (1896–1953). Born in Washington, D.C.. Died in St. Augustine. Occupations: children's writer, screenwriter, university teacher, writer, novelist. Notable works: The Yearling",Q465237,2025-06-17 03:44:44.513472,2025-06-17 16:38:18.210039,
85,Charlotte Armstrong,1905,1969,United States,,"American writer (1905–1969). Born in Vulcan. Died in Glendale. Occupations: playwright, screenwriter, novelist, writer",Q120578,2025-06-17 03:44:44.513472,2025-06-17 16:38:19.738034,
86,Edith Kneipple Roberts,1902,1966,,,,,2025-06-17 03:44:44.513472,2025-06-17 22:03:34.669179,
87,Peggy Goodin,1923,1983,United States,,American novelist (1923-1983). Born in Kansas City. Occupations: writer,Q61829261,2025-06-17 03:44:44.513472,2025-06-17 16:38:21.802517,
88,Kathryn Forbes,1908,1966,United States,,American writer (1908–1966). Born in San Francisco. Died in San Francisco. Occupations: writer,Q2020013,2025-06-17 03:44:44.513472,2025-06-17 16:38:23.215171,
89,Eleanor Atkinson,1863,1942,United States,,"American author, journalist and teacher.. Born in Rensselaer. Occupations: novelist, journalist, teacher, writer",Q5354396,2025-06-17 03:44:44.513472,2025-06-17 16:38:24.747263,
90,Cid Ricketts Sumner,1890,1970,United States,,American writer. Occupations: novelist,Q5119485,2025-06-17 03:44:44.513472,2025-06-17 16:38:26.192685,
91,Mary Bard,1904,1970,United States,,"American writer. Born in Montana. Occupations: children's writer, writer",Q12035944,2025-06-17 03:44:44.513472,2025-06-17 16:38:27.653371,
92,Dorothy Baker,1907,1968,United States,,"American novelist (1907-1968). Born in Missoula. Died in Terra Bella. Occupations: screenwriter, novelist, short story writer, writer. Notable works: Young Man with a Horn",Q5298302,2025-06-17 03:44:44.513472,2025-06-17 16:38:29.175389,
93,Gertrude Walker,1902,1995,United States,,"American crime writer (1902-1995). Born in Rockwell. Died in Palm Springs. Occupations: crime fiction writer, screenwriter, novelist, writer",Q3104395,2025-06-17 03:44:44.513472,2025-06-17 16:38:30.842794,
94,Edna Anhalt,1914,1987,United States,,"screenwriter (1914–1987). Born in New York City. Occupations: film producer, screenwriter",Q911247,2025-06-17 03:44:44.513472,2025-06-17 16:38:32.248762,
95,Sylvia Tate,,,,,,,2025-06-17 03:44:44.513472,2025-06-17 03:44:44.513472,
96,Agnes Newton Keith,1901,1982,"United States, Malaysia",,"American novelist and memoirist (1901—1982). Occupations: novelist, writer",Q4693095,2025-06-17 03:44:44.513472,2025-06-17 16:38:34.1973,
97,Fay Kanin,1917,2013,United States,,"American screenwriter, playwright and producer (1917-2013). Born in New York City. Died in Santa Monica. Occupations: television writer, film actor, screenwriter, writer, film screenwriter, film producer",Q304588,2025-06-17 03:44:44.513472,2025-06-17 16:38:35.713211,
98,Carson McCullers,1917,1967,United States,,"American writer (1917–1967). Born in Columbus. Died in Nyack. Occupations: screenwriter, prose writer, writer, poet, playwright, novelist. Notable works: The Heart Is a Lonely Hunter, The Member of the Wedding",Q230591,2025-06-17 03:44:44.513472,2025-06-17 16:38:37.281143,
99,Emily Dunning Barringer,1876,1961,United States,,,,2025-06-17 03:44:44.513472,2025-06-17 22:05:32.804088,
100,Mary Elizabeth Vroman,1924,1967,United States,,"1924-1967 American writer and schoolteacher. Born in Buffalo. Died in New York City. Occupations: teacher, writer",Q20737799,2025-06-17 03:44:44.513472,2025-06-17 16:38:39.63225,
101,Gladys Atwater,1899,1988,United States,,"American screenwriter. Born in Oakland. Occupations: screenwriter, writer",Q60813344,2025-06-17 03:44:44.513472,2025-06-17 16:38:41.032256,
102,Louise Baker,,,,,,,2025-06-17 03:44:44.513472,2025-06-17 03:44:44.513472,
103,Margaret Cousins,1905,1996,United States,,American writer and editor. Born in Munday. Died in San Antonio. Occupations: writer,Q63068786,2025-06-17 03:44:44.513472,2025-06-17 16:38:42.787076,
104,Diana Barrymore,1921,1960,United States,,"American actress (1921–1960). Born in New York City. Died in New York City. Occupations: talk show host, film actor, actor, stage actor, television actor, writer",Q444125,2025-06-17 03:44:44.513472,2025-06-17 16:38:44.319928,
105,Dorothy M. Johnson,1908,1992,United States,,"American entomologist and collector. Born in Spokane. Died in Columbus. Occupations: entomologist, scientific collector, taxonomist",Q84167374,2025-06-17 03:44:44.513472,2025-06-17 16:38:45.734066,
106,Helen Aberson,,,,,,,2025-06-18 01:35:22.098308,2025-06-18 01:35:22.098308,
107,Eleanor Hallowell Abbott,,,,,,,2025-06-18 01:36:22.106322,2025-06-18 01:36:22.106322,aka Eleanor Hallowell
108,Martha Albrand,,,,,,,2025-06-18 01:44:22.921838,2025-06-18 01:44:22.921838,pseud of Heidi Huberta Freybe Loewengard
109,Mae Livingston,,,,,,,2025-06-18 01:50:26.245186,2025-06-18 01:50:26.245186,
110,Josephine Daskam Bacon,,,,,,,2025-06-18 01:57:25.66646,2025-06-18 01:57:25.66646,
111,Sara Ware Bassett,,,,,,,2025-06-18 02:05:27.940531,2025-06-18 02:05:27.940531,
112,Eileen Bassing,,,,,,,2025-06-18 02:06:41.532425,2025-06-18 02:06:41.532425,
113,Vicki Baum,,,"Austria, United States",,She emigrated to the United States in 1938. Her post-WWII works were written in English.,,2025-06-18 02:11:09.081251,2025-06-18 02:11:09.081251,
114,Lillian Bennett-Thompson,,,,,,,2025-06-18 02:15:16.243554,2025-06-18 02:15:16.243554,
115,Sally Benson,,,,,,,2025-06-18 02:18:25.874594,2025-06-18 02:18:25.874594,pseud of Sara Benson
116,Josephine Bentham,,,,,,,2025-06-18 02:20:02.803483,2025-06-18 02:20:02.803483,
117,Elisa Bialk,,,,,,,2025-06-18 02:21:09.58882,2025-06-18 02:21:09.58882,
118,Carol Bird,,,,,,,2025-06-18 02:25:39.458996,2025-06-18 02:25:39.458996,
119,Nell Blackwell,,,,,,,2025-06-18 02:26:47.133063,2025-06-18 02:26:47.133063,
120,Tats Blain,,,,,,,2025-06-18 02:28:07.622332,2025-06-18 02:28:07.622332,pseud of Mary D. Blain
121,Adele Bleneau,,,,,,,2025-06-18 02:29:21.222936,2025-06-18 02:29:21.222936,
122,Libbie Block,,,,,,,2025-06-18 02:29:47.377959,2025-06-18 02:29:47.377959,
123,Geraldine Bonner,,,,,,,2025-06-18 02:31:28.250433,2025-06-18 02:31:28.250433,
124,Ruth Holt Boucicault,,,,,,,2025-06-18 02:35:43.599209,2025-06-18 02:35:43.599209,
125,Diana Bourbon,,,,,,,2025-06-18 02:37:57.41586,2025-06-18 02:37:57.41586,
126,Catherine Drinker Bowen,,,,,,,2025-06-18 02:38:38.626096,2025-06-18 02:38:38.626096,
127,Kay Boyle,,,,,,,2025-06-18 02:39:34.885218,2025-06-18 02:39:34.885218,
128,Blanche Brace,,,,,,,2025-06-18 02:42:34.641016,2025-06-18 02:42:34.641016,
129,Mary Hastings Bradley,,,,,,,2025-06-18 02:44:49.074683,2025-06-18 02:44:49.074683,
130,Eleanor Hoyt Brainerd,,,,,,,2025-06-18 02:46:21.221035,2025-06-18 02:46:21.221035,
131,Dorothea Brande,,,,,,,2025-06-18 02:46:55.568707,2025-06-18 02:47:27.132343,aka Dorothea Thompson Brande Collins
132,Beta Breuil,,,,,,,2025-06-18 02:48:30.96183,2025-06-18 02:48:30.96183,pseud of Elizabeth Donner Vanderveer
133,Bessie Breuer,,,,,,,2025-06-18 02:50:10.932622,2025-06-18 02:50:10.932622,
134,Virginia Hudson Brightman,,,,,,,2025-06-18 02:51:20.77821,2025-06-18 02:51:20.77821,aka Virginia Tyler Hudson
135,Carol Ryrie Brink,,,,,,,2025-06-18 02:52:36.597512,2025-06-18 02:52:36.597512,
136,Gwen Bristow,,,,,,,2025-06-18 02:53:33.367658,2025-06-18 02:53:33.367658,aka Mrs. Bruce Manning
137,Mrs. Owen Bronson,,,,,,,2025-06-18 02:54:32.433797,2025-06-18 02:54:32.433797,
138,Virginia Brooks,,,,,,,2025-06-18 02:55:11.897562,2025-06-18 02:55:11.897562,
139,Bernice Brown,,,,,,,2025-06-18 02:56:53.711236,2025-06-18 02:56:53.711236,
140,Beth Brown,,,,,,,2025-06-18 02:59:06.541005,2025-06-18 02:59:06.541005,
141,Grace Drew Brown,,,,,,,2025-06-18 03:00:13.008925,2025-06-18 03:00:13.008925,
