id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
182,Eve Curie,1904,2007,"United States, France",,"writer, journalist and pianist, younger daughter of Marie and Pierre Curie. Born in 13th arrondissement of Paris. Died in Manhattan. Occupations: war correspondent, biographer, writer, pianist, journalist, diplomat, French resistance fighter, music critic, screenwriter. Notable works: Journey Among Warriors, Madame Curie",Q230068,2025-06-19T17:55:47.602155,2025-06-20T17:54:05.026577,
41,Evelyn Campbell,1874,1961,,,"American screenwriter. Occupations: Ziegfeld girl, screenwriter",Q60641805,2025-06-17T03:44:44.513472,2025-06-17T16:37:24.292868,
57,Faith Baldwin,1893,1978,United States,,"American author of romance and fiction. Born in New Rochelle. Died in Norwalk. Occupations: novelist, writer",Q5431144,2025-06-17T03:44:44.513472,2025-06-17T16:37:46.358561,
25,Fannie Hurst,1889,1968,United States,,"American novelist (1889–1968). Born in Hamilton. Died in New York City. Occupations: novelist, writer. Notable works: Back Street",Q275719,2025-06-17T03:44:44.513472,2025-06-17T16:37:04.294215,
256,Fanny Hatton,1869,1939,United States,,"American screenwriter, playwright. Born in Chicago. Occupations: playwright, screenwriter, actor",Q60899621,2025-07-05T22:18:25.74318,2025-07-05T22:23:06.889702,
97,Fay Kanin,1917,2013,United States,,"American screenwriter, playwright and producer (1917-2013). Born in New York City. Died in Santa Monica. Occupations: television writer, film actor, screenwriter, writer, film screenwriter, film producer",Q304588,2025-06-17T03:44:44.513472,2025-06-17T16:38:35.713211,
3,Frances Hodgson Burnett,1849,1924,"United Kingdom of Great Britain and Ireland, United Kingdom, United States",,"English-American playwright and author (1849–1924). Born in Manchester. Died in Plandome Manor. Occupations: children's writer, short story writer, writer, playwright, dramaturge, novelist. Notable works: The Lost Prince, The Secret Garden, Little Lord Fauntleroy, The Shuttle, The Head of the House of Coombe",Q276028,2025-06-17T03:44:44.513472,2025-06-17T16:36:33.0294,
244,Frances Nimmo Greene,,,United States,,"American educator and author (1867-1937). Born in Tuscaloosa. Occupations: novelist, playwright, children's writer, librarian, short story writer, head teacher, newspaper editor, writer",Q64313396,2025-07-04T00:53:10.886851,2025-07-04T03:29:25.345511,
255,Frances Noyes Hart,1890,1943,United States,,"American writer (1890-1943). Born in Washington, D.C.. Died in New Canaan. Occupations: writer, crime fiction writer",Q5478872,2025-07-05T22:18:25.74318,2025-07-05T22:23:05.409577,
12,Gene Stratton-Porter,1863,1924,United States,,"American writer and naturalist (1863–1924). Born in Wabash County. Died in Los Angeles. Occupations: children's writer, photographer, naturalist, illustrator, architect, writer, ecologist, novelist. Notable works: A Girl of the Limberlost, Freckles",Q5531480,2025-06-17T03:44:44.513472,2025-06-17T16:36:46.044195,
123,Geraldine Bonner,1870,1930,United States,,"American writer (1870–1930). Born in Staten Island. Occupations: writer, novelist",Q5549723,2025-06-18T02:31:28.250433,2025-06-20T17:52:48.780484,
16,Gertrude Atherton,1857,1948,United States,,"American author (1857–1948). Born in San Francisco. Died in San Francisco. Occupations: screenwriter, novelist, non-fiction writer, writer",Q137679,2025-06-17T03:44:44.513472,2025-06-17T16:36:52.097227,
